,RELIANCE.NS,TCS.NS,INFY.NS,HDFCBANK.NS,ICICIBANK.NS,ITC.NS,LT.NS,KOTAKBANK.NS,SBIN.NS,BHARTIARTL.NS,AXISBANK.NS,HCLTECH.NS,MARUTI.NS,ASIANPAINT.NS,WIPRO.NS,ULTRACEMCO.NS,HINDUNILVR.NS,BAJFINANCE.NS,NTPC.NS,TITAN.NS,SUNPHARMA.NS,TECHM.NS,INDUSINDBK.NS,POWERGRID.NS,JSWSTEEL.NS,ADANIENT.NS,BAJAJFINSV.NS,CIPLA.NS,COALINDIA.NS,EICHERMOT.NS,HINDALCO.NS,ONGC.NS,TATACONSUM.NS,NESTLEIND.NS,DRREDDY.NS,M&M.NS,GRASIM.NS,HDFCLIFE.NS,BRITANNIA.NS,APOLLOHOSP.NS,DIVISLAB.NS,BPCL.NS,SBILIFE.NS,TATAMOTORS.NS,HEROMOTOCO.NS,BAJAJ-AUTO.NS,UPL.NS,TATASTEEL.NS,ADANIPORTS.NS,IOC.NS
AXISBANK.NS,0.40975814631327706,0.22078512940413486,0.3883594967121628,0.5281697415964718,0.5576352660687149,0.23718754570793255,0.38034687892137076,0.4333912659493172,0.4731718607936191,0.2620659307005797,1.0,0.2596839279252336,0.30753911879037005,0.30526133923889354,0.22179567974591466,0.3120658535791981,0.1381480856951727,0.4688218697913505,0.4108451835210701,0.18735126024449503,0.11086073449900383,0.23570484763338734,0.17434394453433313,0.2786627821402955,0.4166745194566712,0.42237453080843784,0.49281244196963475,0.379006509409439,0.3313216037282779,0.39804011005988255,0.30102102250626117,0.3770064872258409,0.22424974010760348,0.17953113604418103,0.348660185512692,0.38258288333217816,0.3444123740981736,0.36601517428431773,0.06495370978641475,0.2650248339154733,0.1873327591275444,0.3185484502805495,0.3574799055969518,0.31574766672725824,0.3180546014058812,0.365504710508933,0.15493438090779957,0.4025491732526193,0.4061264718327185,0.27248347713609594
HCLTECH.NS,0.40912961675924936,0.7094990549330891,0.7078982113122573,0.2167253866469942,0.28152314506061493,0.2478269831168611,0.45351958291853683,0.17485511709348783,0.13193817393217705,0.40812212664770786,0.2596839279252336,1.0,0.2206281072535402,0.2595118848628664,0.5693848880459715,0.21554233730918537,0.3165900242029888,0.16237303151473056,0.18322206468753754,0.34791281800058665,0.1407077673342737,0.6829723449446574,-0.0410440411039899,0.270558520199799,0.3603514603453656,0.12037065604567533,0.31143710777458894,0.2459303878472212,0.18854941523744578,0.22034098460089613,0.29501738912797304,0.3306148250110423,0.24922204093846725,0.3190299978384786,0.3003367236975972,0.2575159564433153,0.2590945604163223,0.19740300256787385,0.2851554112856292,0.23238001784349724,0.11626808529817806,0.16037481934371847,0.25810141170728246,0.31183184340136505,0.33678676021464365,0.36039410103114766,0.189941204598118,0.3320269905719334,0.1502049276440525,0.12584584511674501
MARUTI.NS,0.4216443676939456,0.2395596315687763,0.3221284373796186,0.32681605467584185,0.3291385388087516,0.4026692276803856,0.22695312587157124,0.19222986958024818,0.2125028710527741,0.35694935982141673,0.30753911879037005,0.2206281072535402,1.0,0.29971110930220574,0.3016286737200919,0.18344693285486008,0.27243705973987886,0.34666805249689764,0.2886378882799546,0.40268628662549794,0.29209488168787195,0.34706346655702197,0.12733755537796215,0.27233865090199516,0.29869311196269055,0.3786291177330429,0.27131330467852105,0.29537411587713314,0.18583638059867152,0.47737052093850924,0.282377772161035,0.2663054768512603,0.4413017473786469,0.2612961943515455,0.3149822457460311,0.5007828053531711,0.23229943553537988,0.19949967220349044,0.24132776447271306,0.27631068926980945,0.23581839437099367,0.19503902481793442,0.2948144524288504,0.26489003428022473,0.49627805651063095,0.4668178008407645,0.39895221645986356,0.38132061981339577,0.3345433307445505,0.22977396510991097
ASIANPAINT.NS,0.472683410817542,0.17450689460570923,0.13699207930738982,0.20465815339213647,0.2984157649903086,0.454669564098658,0.3742587530834595,0.13725910596186494,0.30695146429997866,0.22378915627246795,0.30526133923889354,0.2595118848628664,0.29971110930220574,1.0,0.1847344652688431,0.370418853377919,0.47045732508729937,0.11382996679093632,0.43301396669649017,0.34535320411273107,0.3237751794824,0.07234069095751355,0.05618489507383561,0.3857801590576855,0.2715107840245162,0.33122379563079724,0.2534543838558477,0.39216554032017165,0.265849154703333,0.3938855525728804,0.2574334493215749,0.23362583958386768,0.42928434072927923,0.48149305198928743,0.22053176918215675,0.2182718829630565,0.24889678981113594,0.22178231201356272,0.3469430220676101,0.34747519668656535,0.09339145734830243,0.2966276475237219,0.18841431933884814,0.17297978838196806,0.4031987513376484,0.3891130368128834,0.26285967872480626,0.30349257361127396,0.3071251349781562,0.36890910147296396
WIPRO.NS,0.24493830699793248,0.6219979749221962,0.7074550260844157,0.17758748457106827,0.20839106071633798,0.11111070213594096,0.4012447767786746,0.2557324934184996,0.2978182083624831,0.32739558233633426,0.22179567974591466,0.5693848880459715,0.3016286737200919,0.1847344652688431,1.0,0.26520462072031337,0.059731124407156354,0.35146567897957276,0.356059218762731,0.31786840316728016,0.11451086765885901,0.7062520198820957,0.123725593180893,0.3035764507951423,0.4430968467699871,0.37148046222913117,0.34327639618569294,0.3183444886811078,0.24226055026958185,0.34016919579400673,0.3554079140403099,0.42072613202686454,0.2018094304007554,0.17255660310992985,0.32487375966858406,0.35899115460889414,0.3974601418786223,0.2393357987190568,0.18644479029827654,0.2079760971565779,0.27544945944080995,0.26698731159093264,0.19830445688382617,0.3468746313478856,0.34315567281824483,0.2844645350289805,0.3383266099861152,0.4458101968503129,0.291074769785746,0.31263911360532953
ULTRACEMCO.NS,0.2663389088578012,0.13754463069160822,0.26186507172477624,0.37182036708984123,0.38601927346866727,0.25451959255671225,0.38738375038773504,0.3007458184843182,0.33545032643074707,0.2231246740194959,0.3120658535791981,0.21554233730918537,0.18344693285486008,0.370418853377919,0.26520462072031337,1.0,0.17591494130643126,0.2594855930163649,0.4414861831017938,0.3047795029322613,0.31628295585785743,0.20939305391386348,0.14845213125027856,0.42255938032603574,0.4241574152863254,0.47143268132403915,0.307229325485587,0.4166329989051569,0.32147103210452843,0.4050739539481285,0.2826526761629937,0.24280169469625343,0.20057994057065895,0.20222018910152226,0.23755342851849684,0.3553661776068554,0.6357124999728644,0.36120879332098493,0.16597135701253918,0.47557608893138226,0.3065624299258192,0.31917001316144944,0.32900283334514846,0.36966902641757243,0.3683920284280016,0.33633487482675434,0.2831087385607795,0.42313622710485005,0.369385732214763,0.3559067702588778
HINDUNILVR.NS,0.24615041112184466,0.322650318237048,0.25038993289700695,0.14630784790819126,0.26079987413551536,0.5210999599667772,0.18519952814694898,0.06683423122264359,0.046289832894956584,0.2556641716760299,0.1381480856951727,0.3165900242029888,0.27243705973987886,0.47045732508729937,0.059731124407156354,0.17591494130643126,1.0,0.01571839485134369,0.15471627959934517,0.3343749867374543,0.055336214070211116,0.11877598033055504,-0.015198611218492968,0.32384844444526933,0.11402298563458833,0.04969954926480299,0.1291673320394919,0.20092645775582998,0.09159443503770172,0.2720288132306321,0.03220578257719299,0.05677021031127379,0.46933077416293506,0.6089418961787656,0.028658290372516305,0.2520374906121074,0.0011425436597758435,0.1543432401717332,0.6114255465089599,0.2471333297536511,-0.14857344540386727,0.12188416417022642,0.16530736419637881,0.05407930963948824,0.24518297696598415,0.34052648953357884,0.08244801848845901,0.07366737571961568,0.09520968282263109,0.03649950484220768
BAJFINANCE.NS,0.2693789482369191,0.21505618023970022,0.27874167845763986,0.5004548723350766,0.4265219312531325,0.14151519927597192,0.17334767324834072,0.3535966372217197,0.3861779317051682,0.23166954346472782,0.4688218697913505,0.16237303151473056,0.34666805249689764,0.11382996679093632,0.35146567897957276,0.2594855930163649,0.01571839485134369,1.0,0.34032807144370786,0.23830434236673065,0.13806734979701601,0.2355848845246413,0.11450510468244593,0.20507720082938066,0.3114940397484102,0.402332557001806,0.7032595787126824,0.27958838451732826,0.27983688267591583,0.2945612274568677,0.24936127076056547,0.24387928816890522,0.16625176830323474,0.14858356508351178,0.20657538133628722,0.3489731360931941,0.3372264052706306,0.22875039514251597,-0.04527084769965755,0.2672837189650111,0.3583410973399619,0.27616590097389687,0.3016985685738593,0.24024176758310076,0.2134098925404396,0.26333106610718526,0.2655921213527699,0.3346007686730843,0.31227777810759155,0.2749505938029138
NTPC.NS,0.4631083353729728,0.1794928733494035,0.26061518397088085,0.3496785053976034,0.4188470550295097,0.2916382285599762,0.5332959717732378,0.4549470017820042,0.5830743861250158,0.27017120248381005,0.4108451835210701,0.18322206468753754,0.2886378882799546,0.43301396669649017,0.356059218762731,0.4414861831017938,0.15471627959934517,0.34032807144370786,1.0,0.24524842499863314,0.3653065941110082,0.29934732092877614,0.07247988840924798,0.6911181198323018,0.4564963935074918,0.5832047315409269,0.3315510094841963,0.5197848963561931,0.614923378280153,0.4563111208545249,0.5226209415462534,0.5072810243504695,0.15368852199743133,0.2517430252089891,0.319700799620854,0.28084301298816416,0.4640514284725781,0.3445005056635834,0.13145627609347998,0.32167794599898863,0.2999450074930599,0.4727310896173028,0.38122129595366483,0.37665206134158835,0.37280705365676126,0.37004014044022915,0.30596879924647447,0.5676294220772917,0.5417032187537222,0.5687240505081156
TITAN.NS,0.31583919008546996,0.21828010878305537,0.35670077678885437,0.22364579535639517,0.22487363102443245,0.3586740145259867,0.4217473320157967,0.16497984419176903,0.3131458214834825,0.40422191488180137,0.18735126024449503,0.34791281800058665,0.40268628662549794,0.34535320411273107,0.31786840316728016,0.3047795029322613,0.3343749867374543,0.23830434236673065,0.24524842499863314,1.0,0.33146191403427233,0.29416243007439263,0.14425642481460274,0.29427422187637303,0.4142586720008245,0.3105469833490764,0.24516024206714074,0.35664264708313415,0.28823996194800927,0.4332583297926898,0.3166520550463355,0.31531324298148505,0.5362321795605867,0.5009268366936979,0.2923385279730743,0.42443966474165845,0.32685752487086817,0.2793373331926565,0.4440696588284335,0.230135369098574,0.2961430328931222,0.32358190756273625,0.302841443629804,0.3619947988531399,0.4242681329973837,0.4399711837332519,0.37372267077995364,0.38953207738774814,0.2536771178831962,0.20712187739906618
SUNPHARMA.NS,0.3811750908150505,0.034193899405050354,0.04111227930174931,0.13625998812217918,0.2686766632308583,0.14006893627006986,0.32319386181694804,0.19625004707932814,0.25799386869606417,0.3223592999513336,0.11086073449900383,0.1407077673342737,0.29209488168787195,0.3237751794824,0.11451086765885901,0.31628295585785743,0.055336214070211116,0.13806734979701601,0.3653065941110082,0.33146191403427233,1.0,0.18533498928486136,0.03807632447079362,0.34273737382674063,0.3459343595483754,0.31422272884380104,0.19355691583575235,0.48368141507881646,0.38726933736979874,0.3572534669872861,0.3887187628653651,0.3125313455425326,0.1978016059771405,0.2497340004657124,0.4173896778651352,0.2853584642569324,0.3829111576945409,0.22452330632223627,0.13641715843302799,0.2429761094069929,0.4564260993586837,0.31496716267174724,0.3649093426185159,0.3495810192560825,0.2675850466745276,0.32490881236187247,0.33343486768343006,0.3970805150139885,0.3681827848653551,0.32375823665688064
TECHM.NS,0.3115313472430541,0.7042308198642044,0.7374627875669533,0.1808162192860839,0.251713958520968,0.1671743757077657,0.3700449301108063,0.2705055220931234,0.29180881860508256,0.3806574248608251,0.23570484763338734,0.6829723449446574,0.34706346655702197,0.07234069095751355,0.7062520198820957,0.20939305391386348,0.11877598033055504,0.2355848845246413,0.29934732092877614,0.29416243007439263,0.18533498928486136,1.0,0.06022078963930887,0.2667402433628749,0.42280592414568924,0.2957839271582824,0.35935069704875267,0.30624106350139857,0.20180460130364972,0.33098631652011246,0.30055219832515345,0.42455937567548874,0.2680856247015243,0.2430699753127269,0.29194111853432547,0.31736094091953193,0.3360628189046677,0.26051745618132643,0.21784188022866743,0.20289827329353904,0.2524168034562261,0.20612186378619535,0.36363468899760304,0.3463198391213645,0.3562240243972818,0.3412618705919501,0.2524505576639624,0.3968965991405571,0.24844741248134092,0.23540358420217794
INDUSINDBK.NS,0.09457811989214086,-0.006729930891450532,0.11399819053153731,0.08723724716226587,-0.09785529862971468,-0.008717095655657698,0.10297714214642037,0.03874708908103343,0.14112463417951657,0.0018848513801953696,0.17434394453433313,-0.0410440411039899,0.12733755537796215,0.05618489507383561,0.123725593180893,0.14845213125027856,-0.015198611218492968,0.11450510468244593,0.07247988840924798,0.14425642481460274,0.03807632447079362,0.06022078963930887,1.0,0.19333922844334758,0.04231900044115972,0.1419288178786593,0.15425139653824907,0.22066334430063386,0.11700724243455726,0.15894069606245284,0.12575724438025268,0.1388660033875332,0.04024179143823694,0.015992316841620474,0.18120726210665333,0.2139421144144352,0.03448005358107422,0.046099339563791836,-0.07091163607653989,0.12251333888093835,0.20823408710747598,0.050410865275848225,0.1639477610598738,0.13958101792572,0.08060652834121346,0.1025563602371202,0.2205710203969975,0.16775509319235277,0.21400389867685252,0.08650971607431425
POWERGRID.NS,0.46476575585007635,0.21134441684931862,0.25534987426045547,0.36374914266458214,0.3075570609877932,0.36162154231698485,0.4261486745606363,0.29597400774369026,0.43950700869162956,0.3118479044314008,0.2786627821402955,0.270558520199799,0.27233865090199516,0.3857801590576855,0.3035764507951423,0.42255938032603574,0.32384844444526933,0.20507720082938066,0.6911181198323018,0.29427422187637303,0.34273737382674063,0.2667402433628749,0.19333922844334758,1.0,0.44233058417203475,0.4988370959248588,0.2751129224914729,0.5043847497047876,0.5250210359607076,0.39983132089582313,0.4564337195085339,0.3906402809486244,0.22048253886559846,0.45231772742876764,0.33211433133367335,0.34504139765221126,0.41405544249550874,0.3413121220448428,0.22990796889436899,0.34731963721458675,0.26986857741893167,0.40821323100380996,0.3701586664917403,0.29681323791049574,0.36783876315268776,0.3435920324392233,0.36775228203356247,0.4785636480345448,0.4843412373676456,0.5246595166324941
JSWSTEEL.NS,0.3999840472227182,0.3164978134226952,0.4301687543910891,0.39836825691385047,0.38619133465406996,0.18255072992816945,0.523310039697909,0.40713889163071665,0.39398798096910653,0.46440146076936517,0.4166745194566712,0.3603514603453656,0.29869311196269055,0.2715107840245162,0.4430968467699871,0.4241574152863254,0.11402298563458833,0.3114940397484102,0.4564963935074918,0.4142586720008245,0.3459343595483754,0.42280592414568924,0.04231900044115972,0.44233058417203475,1.0,0.48665135635283113,0.35175901138184107,0.45483337877435537,0.4354581091333177,0.5111164318637508,0.6302535332698838,0.49448204666433415,0.29113724358603177,0.2880114986029641,0.406428242477233,0.430451979409991,0.5667946373706134,0.3747836031113252,0.18218860950323879,0.3369801838858007,0.38445269614322924,0.40583444461032986,0.4788740231732606,0.43252711425777063,0.5261769784963011,0.539962546621163,0.34654364052627246,0.6953779226252419,0.31337146208261807,0.305545699186538
ADANIENT.NS,0.41776849010931644,0.1375827027805048,0.2909866310464012,0.46885212831601775,0.42840959283818736,0.2856900186969659,0.4757627858889341,0.2693029390589159,0.5689634121580711,0.2847658717395473,0.42237453080843784,0.12037065604567533,0.3786291177330429,0.33122379563079724,0.37148046222913117,0.47143268132403915,0.04969954926480299,0.402332557001806,0.5832047315409269,0.3105469833490764,0.31422272884380104,0.2957839271582824,0.1419288178786593,0.4988370959248588,0.48665135635283113,1.0,0.4078490524525503,0.5425887552425582,0.5334902489175809,0.41401278275407405,0.5489077915920625,0.4836285549582572,0.2569248040327162,0.21228123347423564,0.4690568744678625,0.4535987980348089,0.5652977403936772,0.453013058361961,0.1177691107354053,0.31764461368633296,0.41322669242134946,0.5280234475424751,0.413888378596995,0.5163193517491045,0.44871946455675865,0.4542468767569544,0.4018165510065167,0.5923553324796468,0.7860247584311187,0.6136782246423436
BAJAJFINSV.NS,0.37117311125289215,0.31029825586503007,0.38621305326214955,0.4432293976094757,0.35540566644535443,0.22829844008496245,0.24032659751711585,0.35675042670365803,0.3675273900295457,0.28727731306226817,0.49281244196963475,0.31143710777458894,0.27131330467852105,0.2534543838558477,0.34327639618569294,0.307229325485587,0.1291673320394919,0.7032595787126824,0.3315510094841963,0.24516024206714074,0.19355691583575235,0.35935069704875267,0.15425139653824907,0.2751129224914729,0.35175901138184107,0.4078490524525503,1.0,0.34072170511929867,0.2604121869032887,0.3793571829739969,0.3056320063720662,0.275904090482582,0.247073151256241,0.22214671975647526,0.17614116365369117,0.35021095719512196,0.2915436704594828,0.17703306280067432,0.13867173513850925,0.2489047887714581,0.31312550180675486,0.23521407133667493,0.31361421217786994,0.32136427467387063,0.2699425917517008,0.3232107618333593,0.2778671173689546,0.3920976959588387,0.3843801011760259,0.19818802089134338
CIPLA.NS,0.5099069220821334,0.2180689974058531,0.29750233900425055,0.3368747280779185,0.28247945847505324,0.23141831700996504,0.4956327831020951,0.22228327566196368,0.43372369038111475,0.23575993598480618,0.379006509409439,0.2459303878472212,0.29537411587713314,0.39216554032017165,0.3183444886811078,0.4166329989051569,0.20092645775582998,0.27958838451732826,0.5197848963561931,0.35664264708313415,0.48368141507881646,0.30624106350139857,0.22066334430063386,0.5043847497047876,0.45483337877435537,0.5425887552425582,0.34072170511929867,1.0,0.5072297678045592,0.3578787970636769,0.44993022259889914,0.4907537405919948,0.20755816476168268,0.30285021167138915,0.6026442519478517,0.3995678396045996,0.4477205658435121,0.3609860617165484,0.16799036788418342,0.26345464632839594,0.3839016105462371,0.4894444542458138,0.41344320000121193,0.37574386799863796,0.3636686318358977,0.41483365792988963,0.410212995648496,0.5060144781530886,0.5198998322555047,0.454340177512142
