Date,RELIANCE.NS_rsi_14,RELIANCE.NS_sma_20,RELIANCE.NS_sma_50,RELIANCE.NS_bb_upper,RELIANCE.NS_bb_middle,RELIANCE.NS_bb_lower,TCS.NS_rsi_14,TCS.NS_sma_20,TCS.NS_sma_50,TCS.NS_bb_upper,TCS.NS_bb_middle,TCS.NS_bb_lower,INFY.NS_rsi_14,INFY.NS_sma_20,INFY.NS_sma_50,INFY.NS_bb_upper,INFY.NS_bb_middle,INFY.NS_bb_lower
2025-03-19,61.19325475662267,1221.1700073242187,1241.0839990234374,1276.5030724166254,1221.1700073242187,1165.836942231812,33.362643536976336,3572.412158203125,3859.0726416015623,3805.766015231903,3572.412158203125,3339.0583011743465,22.49885176189713,1681.2126525878907,1784.6004760742187,1851.9681573826847,1681.2126525878907,1510.4571477930967
2025-03-20,64.65863592792405,1223.3575073242187,1241.1569995117188,1282.7080082485159,1223.3575073242187,1164.0070063999215,44.47546668796844,3557.0462280273437,3848.457333984375,3754.117959779051,3557.0462280273437,3359.9744962756363,29.04634296387951,1669.556658935547,1778.336611328125,1830.1484972261896,1669.556658935547,1508.9648206449042
2025-03-21,67.99621544751987,1225.802508544922,1241.5889990234375,1289.7164017488124,1225.802508544922,1161.8886153410315,64.25246218359877,3546.8369750976562,3839.5138623046873,3721.5404919557513,3546.8369750976562,3372.133458239561,34.21271316810473,1658.7955688476563,1771.931728515625,1815.419882976643,1658.7955688476563,1502.1712547186696
2025-03-24,81.34129319020562,1229.2575073242188,1242.792998046875,1301.7099476937133,1229.2575073242188,1156.8050669547242,68.17818204341873,3539.380749511719,3827.0930859375,3689.237874454483,3539.380749511719,3389.523624568955,29.360400108857547,1647.3367919921875,1764.5515698242189,1793.7154329853868,1647.3367919921875,1500.9581509989882
2025-03-25,78.59287873831208,1232.1225036621095,1243.7049975585937,1308.7990515011772,1232.1225036621095,1155.4459558230417,67.28549238136463,3533.0247436523437,3814.7399169921873,3652.499583925279,3533.0247436523437,3413.5499033794085,39.89187109830698,1638.1387084960938,1757.9691845703126,1769.1307590068259,1638.1387084960938,1507.1466579853618
2025-03-26,72.68917761319848,1235.0475036621094,1244.3909985351563,1313.3476037895964,1235.0475036621094,1156.7474035346224,61.97547194894975,3531.0522705078124,3803.0996533203124,3643.9909535473353,3531.0522705078124,3418.1135874682896,31.43943432779264,1630.0204345703125,1751.25169921875,1754.4932959017965,1630.0204345703125,1505.5475732388286
2025-03-27,68.45077099966971,1238.757501220703,1244.9109985351563,1317.890575794477,1238.757501220703,1159.6244266469291,57.483390352542976,3532.1252319335936,3791.4373681640627,3648.09201992753,3532.1252319335936,3416.158443939657,31.382648190423183,1621.9268188476562,1744.4257421875,1736.0403000272538,1621.9268188476562,1507.8133376680587
2025-03-28,58.50132365958446,1242.1575012207031,1245.0839990234374,1321.4067191790423,1242.1575012207031,1162.908283262364,49.3117261031115,3531.8080444335938,3779.738359375,3647.2486625712213,3531.8080444335938,3416.367426295966,31.068447575156455,1612.378662109375,1737.369033203125,1716.4745882231737,1612.378662109375,1508.2827359955763
2025-04-01,54.44026261546683,1244.7825012207031,1244.0889990234375,1321.606949640994,1244.7825012207031,1167.9580528004124,45.15164425492883,3535.1557861328124,3768.3694140625,3644.6504197548006,3535.1557861328124,3425.661152510824,23.758826401873065,1604.4304931640625,1731.6702172851562,1715.8564898476673,1604.4304931640625,1493.0044964804576
2025-04-02,51.26270249321586,1248.7775024414063,1243.0030004882813,1317.3705760942191,1248.7775024414063,1180.1844287885936,46.01294987015672,3537.678356933594,3757.786474609375,3642.320523103322,3537.678356933594,3433.0361907638658,32.429472382619196,1596.617919921875,1726.4802392578124,1706.1852542682677,1596.617919921875,1487.0505855754823
